timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1694211164334,83,getOne,201,Created,Open Model Thread Group 1-2918,text,true,,399,611,6,6,https://testslotegrator.com/api/automationTask/getOne,83,0,0
1694211164334,86,create new user,201,Created,Open Model Thread Group 1-2908,text,true,,457,766,5,5,https://testslotegrator.com/api/automationTask/create,86,0,0
1694211164205,230,login,201,Created,Open Model Thread Group 1-2919,text,true,,1086,285,5,5,https://testslotegrator.com/api/tester/login,230,0,149
1694211163967,460,getAll,200,OK,Open Model Thread Group 1-2913,text,true,,274877,556,4,4,https://testslotegrator.com/api/automationTask/getAll,238,0,0
1694211164337,228,login,201,Created,Open Model Thread Group 1-2920,text,true,,1086,285,7,7,https://testslotegrator.com/api/tester/login,228,0,147
1694211164144,474,getAll,200,OK,Open Model Thread Group 1-2911,text,true,,274877,556,7,7,https://testslotegrator.com/api/automationTask/getAll,252,0,0
1694211164565,82,getOne,201,Created,Open Model Thread Group 1-2920,text,true,,398,608,8,8,https://testslotegrator.com/api/automationTask/getOne,82,0,0
1694211164428,229,login,201,Created,Open Model Thread Group 1-2921,text,true,,1086,285,7,7,https://testslotegrator.com/api/tester/login,229,0,148
1694211164465,236,login,201,Created,Open Model Thread Group 1-2922,text,true,,1086,285,7,7,https://testslotegrator.com/api/tester/login,236,0,151
1694211164631,83,login,201,Created,Open Model Thread Group 1-2911,text,true,,1086,285,7,7,https://testslotegrator.com/api/tester/login,83,0,0
1694211164495,229,login,201,Created,Open Model Thread Group 1-2923,text,true,,1086,285,8,8,https://testslotegrator.com/api/tester/login,229,0,148
1694211164658,82,getOne,201,Created,Open Model Thread Group 1-2921,text,true,,403,611,8,8,https://testslotegrator.com/api/automationTask/getOne,82,0,0
1694211164510,231,login,201,Created,Open Model Thread Group 1-2924,text,true,,1086,285,7,7,https://testslotegrator.com/api/tester/login,231,0,150
1694211164714,87,create new user,201,Created,Open Model Thread Group 1-2911,text,true,,463,772,8,8,https://testslotegrator.com/api/automationTask/create,87,0,0
1694211164724,86,getOne,201,Created,Open Model Thread Group 1-2923,text,true,,403,613,7,7,https://testslotegrator.com/api/automationTask/getOne,86,0,0
1694211164742,85,getOne,201,Created,Open Model Thread Group 1-2924,text,true,,400,611,6,6,https://testslotegrator.com/api/automationTask/getOne,85,0,0
1694211164638,245,login,201,Created,Open Model Thread Group 1-2925,text,true,,1086,285,5,5,https://testslotegrator.com/api/tester/login,245,0,149
1694211164436,470,getAll,200,OK,Open Model Thread Group 1-2919,text,true,,275007,556,5,5,https://testslotegrator.com/api/automationTask/getAll,250,0,0
1694211164717,232,login,201,Created,Open Model Thread Group 1-2926,text,true,,1086,285,4,4,https://testslotegrator.com/api/tester/login,232,0,151
1694211164756,231,login,201,Created,Open Model Thread Group 1-2927,text,true,,1086,285,6,6,https://testslotegrator.com/api/tester/login,231,0,150
1694211164949,128,getOne,201,Created,Open Model Thread Group 1-2926,text,true,,399,610,8,8,https://testslotegrator.com/api/automationTask/getOne,128,0,0
1694211164987,90,getOne,201,Created,Open Model Thread Group 1-2927,text,true,,404,612,8,8,https://testslotegrator.com/api/automationTask/getOne,90,0,0
1694211165078,81,login,201,Created,Open Model Thread Group 1-2927,text,true,,1086,285,8,8,https://testslotegrator.com/api/tester/login,81,0,0
1694211164701,468,getAll,200,OK,Open Model Thread Group 1-2922,text,true,,275143,556,8,8,https://testslotegrator.com/api/automationTask/getAll,246,0,0
1694211164958,231,login,201,Created,Open Model Thread Group 1-2928,text,true,,1086,285,7,7,https://testslotegrator.com/api/tester/login,231,0,148
